OMIABIS IRI	new OBIB IRI	Label
http://purl.obolibrary.org/obo/OMIABIS_0000000	http://purl.obolibrary.org/obo/OBIB_0000616	biobank
http://purl.obolibrary.org/obo/OMIABIS_0000001	http://purl.obolibrary.org/obo/OBIB_0000617	human biobank
http://purl.obolibrary.org/obo/OMIABIS_0000002	http://purl.obolibrary.org/obo/OBIB_0000618	settlement part of address of sample collection or study contact
http://purl.obolibrary.org/obo/OMIABIS_0000003	http://purl.obolibrary.org/obo/OBIB_0000619	biobank proper name
http://purl.obolibrary.org/obo/OMIABIS_0000004	http://purl.obolibrary.org/obo/OBIB_0000620	ISO 3166-1 alpha-2 code
http://purl.obolibrary.org/obo/OMIABIS_0000005	http://purl.obolibrary.org/obo/OBIB_0000621	biobank idenfier with ISO 3166-1 alpha-2 code
http://purl.obolibrary.org/obo/OMIABIS_0000007	http://purl.obolibrary.org/obo/OBIB_0000622	ISO 3166-1 alpha-2 code for sample collection or study contact
http://purl.obolibrary.org/obo/OMIABIS_0000010	http://purl.obolibrary.org/obo/OBIB_0000623	biobank organization
http://purl.obolibrary.org/obo/OMIABIS_0000011	http://purl.obolibrary.org/obo/OBIB_0000624	contacting
http://purl.obolibrary.org/obo/OMIABIS_0000012	http://purl.obolibrary.org/obo/OBIB_0000625	contact role
http://purl.obolibrary.org/obo/OMIABIS_0000013	http://purl.obolibrary.org/obo/OBIB_0000626	biobank contact person
http://purl.obolibrary.org/obo/OMIABIS_0000014	http://purl.obolibrary.org/obo/OBIB_0000627	name of biobank contact person
http://purl.obolibrary.org/obo/OMIABIS_0000015	http://purl.obolibrary.org/obo/OBIB_0000628	email address of biobank contact person
http://purl.obolibrary.org/obo/OMIABIS_0000016	http://purl.obolibrary.org/obo/OBIB_0000629	postal address of biobank contact person
http://purl.obolibrary.org/obo/OMIABIS_0000017	http://purl.obolibrary.org/obo/OBIB_0000630	department
http://purl.obolibrary.org/obo/OMIABIS_0000018	http://purl.obolibrary.org/obo/OBIB_0000631	department of biobank contact
http://purl.obolibrary.org/obo/OMIABIS_0000019	http://purl.obolibrary.org/obo/OBIB_0000632	unique resource locator
http://purl.obolibrary.org/obo/OMIABIS_0000020	http://purl.obolibrary.org/obo/OBIB_0000633	biobank's unique resource locator
http://purl.obolibrary.org/obo/OMIABIS_0000021	http://purl.obolibrary.org/obo/OBIB_0000634	telephone number
http://purl.obolibrary.org/obo/OMIABIS_0000022	http://purl.obolibrary.org/obo/OBIB_0000635	telephone number of biobank contact
http://purl.obolibrary.org/obo/OMIABIS_0000023	http://purl.obolibrary.org/obo/OBIB_0000636	post-office box number
http://purl.obolibrary.org/obo/OMIABIS_0000024	http://purl.obolibrary.org/obo/OBIB_0000637	post-office box
http://purl.obolibrary.org/obo/OMIABIS_0000025	http://purl.obolibrary.org/obo/OBIB_0000638	telephone number of sample collection or study contact
http://purl.obolibrary.org/obo/OMIABIS_0000027	http://purl.obolibrary.org/obo/OBIB_0000639	postal code of biobank contact
http://purl.obolibrary.org/obo/OMIABIS_0000028	http://purl.obolibrary.org/obo/OBIB_0000640	ISO 3166-1 alpha-2 code for biobank contact person
http://purl.obolibrary.org/obo/OMIABIS_0000029	http://purl.obolibrary.org/obo/OBIB_0000641	settlement part of address
http://purl.obolibrary.org/obo/OMIABIS_0000030	http://purl.obolibrary.org/obo/OBIB_0000642	settlement part of address biobank contact
http://purl.obolibrary.org/obo/OMIABIS_0000031	http://purl.obolibrary.org/obo/OBIB_0000643	intra-settlement specification part of address
http://purl.obolibrary.org/obo/OMIABIS_0000032	http://purl.obolibrary.org/obo/OBIB_0000644	intra-settlement specification part of address of biobank contact
http://purl.obolibrary.org/obo/OMIABIS_0000033	http://purl.obolibrary.org/obo/OBIB_0000645	hosted study collection
http://purl.obolibrary.org/obo/OMIABIS_0000034	http://purl.obolibrary.org/obo/OBIB_0000646	name of hosted study collection
http://purl.obolibrary.org/obo/OMIABIS_0000035	http://purl.obolibrary.org/obo/OBIB_0000647	email address of sample collection or study contact
